Poder de la Unión,Persona Candidata,CurriculumV Persona Candidata
Poder Legislativo,ALEJANDRO ZEPEDA RODRIGUEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ALEJANDRO_ZEPEDA_RODRIGUEZ_55356.pdf
"Poder Ejecutivo, Poder Legislativo",RUBI ARACELI ANTUNES MARTINEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/RUBI_ARACELI_ANTUNES_MARTINEZ_52345.pdf
Poder Ejecutivo,MICHEL PALOMA HERNANDEZ RIVERA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MICHEL_PALOMA_HERNANDEZ_RIVERA_53470.pdf
Poder Ejecutivo,SALMA JAANAI MARTINEZ MACIAS,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/SALMA_JAANAI_MARTINEZ_MACIAS_53751.pdf
Poder Judicial,PAOLA SELENE MONTERO MARTINEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/PAOLA_SELENE_MONTERO_MARTINEZ_53996.pdf
"Poder Ejecutivo, Poder Judicial",VANESSA ESMERALDA REVILLA MUÑOZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/VANESSA_ESMERALDA_REVILLA_MUÑOZ_55299.pdf
"Poder Judicial, Poder Legislativo",JUDITH ELIZABETH RIVERO DAVILA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JUDITH_ELIZABETH_RIVERO_DAVILA_54366.pdf
En Funciones,MARIA UREÑA PERALTA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MARIA_UREÑA_PERALTA_55123.pdf
"Poder Ejecutivo, Poder Judicial",ADRIANA VALDES AVALOS,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ADRIANA_VALDES_AVALOS_54922.pdf
Poder Legislativo,MARIBEL VILLANUEVA SALAS,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MARIBEL_VILLANUEVA_SALAS_55565.pdf
Poder Judicial,RAQUEL REBECA ZERTUCHE ZERTUCHE,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/RAQUEL_REBECA_ZERTUCHE_ZERTUCHE_55360.pdf
Poder Ejecutivo,MARCO ANTONIO ALVARADO AGUIRRE,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MARCO_ANTONIO_ALVARADO_AGUIRRE_52314.pdf
Poder Ejecutivo,PEDRO ALBERTO CASTAÑEDA ORTIZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/PEDRO_ALBERTO_CASTAÑEDA_ORTIZ_52826.pdf
Poder Judicial,HECTOR CASTRO JARDON,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/HECTOR_CASTRO_JARDON_52842.pdf
Poder Legislativo,HECTOR JAVIER DAVILA HERRERA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/HECTOR_JAVIER_DAVILA_HERRERA_52555.pdf
Poder Judicial,RENE DE HOYOS MARTINEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/RENE_DE_HOYOS_MARTINEZ_52561.pdf
Poder Legislativo,JESUS REGULO GAMEZ DAVILA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JESUS_REGULO_GAMEZ_DAVILA_53246.pdf
Poder Ejecutivo,ROLANDO GARCIA CONDE,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ROLANDO_GARCIA_CONDE_53239.pdf
Poder Legislativo,ADOLFO GARCIA IZAGUIRRE,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ADOLFO_GARCIA_IZAGUIRRE_53724.pdf
Poder Ejecutivo,JOSE MARIO MEJIA CECEÑA TRASFI,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JOSE_MARIO_MEJIA_CECEÑA_TRASFI_52837.pdf
En Funciones,LUIS ALFREDO MENDOZA GARCIA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/LUIS_ALFREDO_MENDOZA_GARCIA_54109.pdf
Poder Ejecutivo,RAUL MUÑOZ RIVERA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/RAUL_MUÑOZ_RIVERA_54308.pdf
Poder Legislativo,GUMARO RAMIREZ REYES,
Poder Legislativo,JOSE JUAN RODRIGUEZ SAUCEDO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JOSE_JUAN_RODRIGUEZ_SAUCEDO_54412.pdf
Poder Ejecutivo,HOMERO ANTONIO SALINAS RUIZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/HOMERO_ANTONIO_SALINAS_RUIZ_55597.pdf
Poder Legislativo,ZAYRA PAOLA CASTOR GALVAN,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ZAYRA_PAOLA_CASTOR_GALVAN_52840.pdf
Poder Ejecutivo,MARIA ESTELA CASTRO RIVERA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MARIA_ESTELA_CASTRO_RIVERA_52509.pdf
"Poder Judicial, Poder Legislativo",ALIX GABRIELA GARCIA SANDOVAL,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ALIX_GABRIELA_GARCIA_SANDOVAL_53281.pdf
Poder Ejecutivo,ABRIL GONZALEZ VAZQUEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ABRIL_GONZALEZ_VAZQUEZ_53467.pdf
Poder Ejecutivo,JESSICA MICHEL RAMIREZ RIOS,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JESSICA_MICHEL_RAMIREZ_RIOS_54419.pdf
"Poder Ejecutivo, Poder Judicial, Poder Legislativo",FRANCISCA REYES TORRES,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/FRANCISCA_REYES_TORRES_55198.pdf
Poder Legislativo,MONICA ALEJANDRA SANCHEZ BARRIENTOS,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MONICA_ALEJANDRA_SANCHEZ_BARRIENTOS_55317.pdf
Poder Judicial,BRENDA SEPULVEDA ABULARACH,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/BRENDA_SEPULVEDA_ABULARACH_55091.pdf
Poder Ejecutivo,LUCERO DEL ROSARIO VALDIVIA TELLO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/LUCERO_DEL_ROSARIO_VALDIVIA_TELLO_55101.pdf
Poder Judicial,CRISTIAN EDUARDO ALVARADO LOPEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/CRISTIAN_EDUARDO_ALVARADO_LOPEZ_52241.pdf
"Poder Ejecutivo, Poder Judicial",SERGIO ANTONIO DE LA TORRE SERVIN DE LA MORA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/SERGIO_ANTONIO_DE_LA_TORRE_SERVIN_DE_LA_MORA_52720.pdf
"En Funciones, Poder Ejecutivo",RAFAEL IBARRA DELGADO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/RAFAEL_IBARRA_DELGADO_53796.pdf
Poder Ejecutivo,CARLOS EMMANUEL JAIME CASTRO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/CARLOS_EMMANUEL_JAIME_CASTRO_53903.pdf
Poder Legislativo,GERARDO ARMANDO LOPEZ GARCIA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/GERARDO_ARMANDO_LOPEZ_GARCIA_53970.pdf
Poder Judicial,CARLOS ALEJANDRO MORENO MUÑIZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/CARLOS_ALEJANDRO_MORENO_MUÑIZ_54509.pdf
Poder Legislativo,JOSE DANIEL OLVERA LOPEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JOSE_DANIEL_OLVERA_LOPEZ_54491.pdf
Poder Legislativo,ANTONIO SALAZAR SENA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ANTONIO_SALAZAR_SENA_55385.pdf
Poder Ejecutivo,RICARDO ISMAEL SANTANA MARTINEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/RICARDO_ISMAEL_SANTANA_MARTINEZ_54785.pdf
Poder Legislativo,JORGE TREJO VELOZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JORGE_TREJO_VELOZ_55345.pdf
Poder Ejecutivo,FERNANDO PEDRO VASQUEZ RAMOS,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/FERNANDO_PEDRO_VASQUEZ_RAMOS_55524.pdf
Poder Judicial,FRANCISCO SALVADOR VEGA DE LEON,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/FRANCISCO_SALVADOR_VEGA_DE_LEON_54766.pdf
Poder Legislativo,AIDE CARRASCO MORENO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/AIDE_CARRASCO_MORENO_52480.pdf
Poder Ejecutivo,ERIKA JANNET CONDEY PONCE,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ERIKA_JANNET_CONDEY_PONCE_52795.pdf
Poder Ejecutivo,ERIKA CORZO TORRES,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ERIKA_CORZO_TORRES_52920.pdf
Poder Judicial,YESSICA LIZ HERNANDEZ LUNA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/YESSICA_LIZ_HERNANDEZ_LUNA_53800.pdf
Poder Judicial,LETICIA ALEJANDRA JUAREZ AVONCE,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/LETICIA_ALEJANDRA_JUAREZ_AVONCE_53512.pdf
Poder Ejecutivo,MA. LUCRECIA MARTINEZ GALVAN,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MA._LUCRECIA_MARTINEZ_GALVAN_53750.pdf
Poder Ejecutivo,MARIA DEL CIELO MATA RAMIREZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MARIA_DEL_CIELO_MATA_RAMIREZ_54326.pdf
Poder Ejecutivo,EMMA ELISA MENCHACA DE LA ROSA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/EMMA_ELISA_MENCHACA_DE_LA_ROSA_54149.pdf
Poder Legislativo,MARIA FERNANDA RAMIREZ ONTIVEROS,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MARIA_FERNANDA_RAMIREZ_ONTIVEROS_54446.pdf
Poder Ejecutivo,GABRIELA ROMERO RANGEL,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/GABRIELA_ROMERO_RANGEL_55021.pdf
Poder Judicial,JETZABELT PATRICIA RUBIO ESPINOSA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JETZABELT_PATRICIA_RUBIO_ESPINOSA_55600.pdf
Poder Judicial,ANA LUISA ZAVALA CARRASCO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ANA_LUISA_ZAVALA_CARRASCO_54931.pdf
"Poder Ejecutivo, Poder Judicial",BIANCA CRISTAL ZAVALA HERNANDEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/BIANCA_CRISTAL_ZAVALA_HERNANDEZ_54756.pdf
Poder Legislativo,MAURICIO CRISTOPHER AREVALO ALCALDE,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MAURICIO_CRISTOPHER_AREVALO_ALCALDE_52303.pdf
Poder Ejecutivo,MARIO ALBERTO AZUARA CARDENAS,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MARIO_ALBERTO_AZUARA_CARDENAS_52579.pdf
En Funciones,BALTAZAR CASTAÑON GUTIERREZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/BALTAZAR_CASTAÑON_GUTIERREZ_52893.pdf
En Funciones,DANTE ORLANDO DELGADO CARRIZALES,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/DANTE_ORLANDO_DELGADO_CARRIZALES_52682.pdf
Poder Legislativo,JORGE ANTONIO ESQUIVEL GUILLEN,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JORGE_ANTONIO_ESQUIVEL_GUILLEN_53354.pdf
Poder Judicial,DIEGO GALEANA JIMENEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/DIEGO_GALEANA_JIMENEZ_53252.pdf
Poder Ejecutivo,JAVIER DE JESUS GUZMAN MIER,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JAVIER_DE_JESUS_GUZMAN_MIER_53530.pdf
Poder Legislativo,MARCO VINICIO HERNANDEZ MILAN,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MARCO_VINICIO_HERNANDEZ_MILAN_53545.pdf
Poder Ejecutivo,JOSE ENRIQUE HERNANDEZ NARVAEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JOSE_ENRIQUE_HERNANDEZ_NARVAEZ_53758.pdf
Poder Judicial,ELIAZAR IZETA AGUILLON,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ELIAZAR_IZETA_AGUILLON_53900.pdf
Poder Legislativo,ADAN MALDONADO SANCHEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ADAN_MALDONADO_SANCHEZ_53935.pdf
Poder Legislativo,CESAR ORTIZ CASTAÑEDA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/CESAR_ORTIZ_CASTAÑEDA_54199.pdf
Poder Ejecutivo,VICTOR REYES DIAZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/VICTOR_REYES_DIAZ_55304.pdf
Poder Judicial,BENJAMIN ROCHA LOREDO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/BENJAMIN_ROCHA_LOREDO_54478.pdf
En Funciones,OSCAR GASTON RODRIGUEZ CELIA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/OSCAR_GASTON_RODRIGUEZ_CELIA_55582.pdf
Poder Ejecutivo,MIGUEL ANGEL ZAPATA CUELLAR,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MIGUEL_ANGEL_ZAPATA_CUELLAR_54778.pdf
Poder Ejecutivo,EVELYN AGUIRRE DE LA CRUZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/EVELYN_AGUIRRE_DE_LA_CRUZ_52212.pdf
"Poder Ejecutivo, Poder Judicial",ABIGAIL BELTRAN FERNANDEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ABIGAIL_BELTRAN_FERNANDEZ_52445.pdf
Poder Ejecutivo,SANDRA ADRIANA CARBAJAL DIAZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/SANDRA_ADRIANA_CARBAJAL_DIAZ_52478.pdf
Poder Ejecutivo,ALEJANDRA DIAZ ALVARADO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ALEJANDRA_DIAZ_ALVARADO_52894.pdf
Poder Ejecutivo,TANIA OSMARA JIMENEZ GUZMAN,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/TANIA_OSMARA_JIMENEZ_GUZMAN_53557.pdf
Poder Ejecutivo,YOSELIN JIMENEZ JIMENEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/YOSELIN_JIMENEZ_JIMENEZ_53558.pdf
"En Funciones, Poder Legislativo",NATALIA LOPEZ ALVAREZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/NATALIA_LOPEZ_ALVAREZ_53820.pdf
Poder Legislativo,ESMERALDA DEL CARMEN PEREZ PRIEGO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ESMERALDA_DEL_CARMEN_PEREZ_PRIEGO_54188.pdf
Poder Ejecutivo,GUADALUPE DEL CARMEN RUIZ GUZMAN,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/GUADALUPE_DEL_CARMEN_RUIZ_GUZMAN_54623.pdf
Poder Legislativo,JOCABET MARTINA SILVA SOSA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JOCABET_MARTINA_SILVA_SOSA_54919.pdf
Poder Ejecutivo,HEIDY CAROLINA VALENCIA MARTINEZ,
Poder Legislativo,MIGUEL ANGEL AMADOR ABDALA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MIGUEL_ANGEL_AMADOR_ABDALA_52155.pdf
Poder Judicial,RUBEN AVILA MENDEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/RUBEN_AVILA_MENDEZ_52497.pdf
Poder Ejecutivo,MIGUEL ANGEL CHAN CHABLE,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MIGUEL_ANGEL_CHAN_CHABLE_52808.pdf
En Funciones,JUAN JOSE CONTRERAS MADERO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JUAN_JOSE_CONTRERAS_MADERO_52620.pdf
Poder Legislativo,JESUS CUEVAS AVALOS,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JESUS_CUEVAS_AVALOS_52676.pdf
En Funciones,ROGELIO SAMUEL ESCARTIN MORALES,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ROGELIO_SAMUEL_ESCARTIN_MORALES_53140.pdf
Poder Ejecutivo,LUIS URIEL GUTIERREZ DIAZ,
En Funciones,SERGIO MANUEL LOPEZ HERNANDEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/SERGIO_MANUEL_LOPEZ_HERNANDEZ_53929.pdf
"Poder Judicial, Poder Legislativo",DAVID GERMAN MAY GONZALEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/DAVID_GERMAN_MAY_GONZALEZ_54153.pdf
"Poder Ejecutivo, Poder Legislativo",GONZALO MONTEJO ARIAS,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/GONZALO_MONTEJO_ARIAS_53994.pdf
"Poder Ejecutivo, Poder Judicial",LUIS FERNANDO MORALES ZEBADUA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/LUIS_FERNANDO_MORALES_ZEBADUA_54212.pdf
Poder Judicial,ADAN ALONSO PEREZ DE LA CRUZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ADAN_ALONSO_PEREZ_DE_LA_CRUZ_54034.pdf
Poder Ejecutivo,DANIEL PEREZ HERNANDEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/DANIEL_PEREZ_HERNANDEZ_54031.pdf
"Poder Judicial, Poder Legislativo",CARLOS RODRIGUEZ ESCOBAR,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/CARLOS_RODRIGUEZ_ESCOBAR_54874.pdf
Poder Ejecutivo,VICTOR RUBEN RODRIGUEZ HERNANDEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/VICTOR_RUBEN_RODRIGUEZ_HERNANDEZ_55272.pdf
Poder Legislativo,JESUS RUELAS RODRIGUEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JESUS_RUELAS_RODRIGUEZ_55244.pdf
En Funciones,JORGE ARIOSTO VELAZQUEZ AVENDAÑO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JORGE_ARIOSTO_VELAZQUEZ_AVENDAÑO_55506.pdf
Poder Judicial,MIRIAM NAYELI DOMINGUEZ HERNANDEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MIRIAM_NAYELI_DOMINGUEZ_HERNANDEZ_53008.pdf
Poder Legislativo,FABIOLA JOACHIN PULIDO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/FABIOLA_JOACHIN_PULIDO_53503.pdf
"Poder Ejecutivo, Poder Legislativo",CAROLINA LOPEZ SIERRA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/CAROLINA_LOPEZ_SIERRA_53863.pdf
Poder Judicial,ALEJANDRINA MALDONADO MARTINEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ALEJANDRINA_MALDONADO_MARTINEZ_54141.pdf
Poder Ejecutivo,ARIADNA PLAZA GARCIA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ARIADNA_PLAZA_GARCIA_54659.pdf
Poder Ejecutivo,ANA CRISTINA RAMOS LEON,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ANA_CRISTINA_RAMOS_LEON_55227.pdf
Poder Legislativo,GUADALUPE DANIELA SANTES JIMENEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/GUADALUPE_DANIELA_SANTES_JIMENEZ_54791.pdf
En Funciones,ANABEL URIBE SANCHEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ANABEL_URIBE_SANCHEZ_55528.pdf
Poder Ejecutivo,BERTHA VELAZQUEZ JIMENEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/BERTHA_VELAZQUEZ_JIMENEZ_55012.pdf
"En Funciones, Poder Legislativo",RIGOBERTO ALMANZA RICO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/RIGOBERTO_ALMANZA_RICO_52234.pdf
Poder Ejecutivo,CRISTIAN EMMANUEL DOMINGUEZ GALVAN,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/CRISTIAN_EMMANUEL_DOMINGUEZ_GALVAN_52965.pdf
Poder Judicial,BARTOLO GARCIA CORDOVA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/BARTOLO_GARCIA_CORDOVA_53578.pdf
Poder Judicial,ALFREDO GONZALEZ ARANO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ALFREDO_GONZALEZ_ARANO_53367.pdf
Poder Judicial,CARLOS GORDILLO ALAMILLA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/CARLOS_GORDILLO_ALAMILLA_54266.pdf
Poder Legislativo,LUIS ANTONIO JIMENEZ ALCAZAR,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/LUIS_ANTONIO_JIMENEZ_ALCAZAR_53323.pdf
Poder Judicial,ROMAN JIMENEZ CASTELLANOS,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ROMAN_JIMENEZ_CASTELLANOS_53330.pdf
Poder Legislativo,IGNACIO LAGUNES LEON,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/IGNACIO_LAGUNES_LEON_53518.pdf
Poder Judicial,EDSEL FERNANDO LOPEZ AGUILAR,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/EDSEL_FERNANDO_LOPEZ_AGUILAR_54007.pdf
"Poder Ejecutivo, Poder Judicial, Poder Legislativo",OCTAVIO HERIBERTO LOPEZ ORTEGA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/OCTAVIO_HERIBERTO_LOPEZ_ORTEGA_53933.pdf
Poder Ejecutivo,BHETTOVEN RAMON MARTINEZ LOPEZ,
Poder Ejecutivo,ABRAHAM AUGUSTO RODRIGUEZ GARCIA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ABRAHAM_AUGUSTO_RODRIGUEZ_GARCIA_54407.pdf
Poder Ejecutivo,JORGE TESLA SALAZAR DE LA CRUZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JORGE_TESLA_SALAZAR_DE_LA_CRUZ_55416.pdf
En Funciones,JAVIER SANCHEZ LAZCANO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JAVIER_SANCHEZ_LAZCANO_55497.pdf
Poder Legislativo,MARTIN DE JESUS SIMON ENRIQUEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MARTIN_DE_JESUS_SIMON_ENRIQUEZ_55430.pdf
Poder Ejecutivo,JOSE DEL CARMEN TRINIDAD CANDELERO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JOSE_DEL_CARMEN_TRINIDAD_CANDELERO_55585.pdf
Poder Legislativo,JUAN CARLOS VIDAL SUAREZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JUAN_CARLOS_VIDAL_SUAREZ_55201.pdf
Poder Ejecutivo,MARINA AGUIRRE VILLANUEVA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MARINA_AGUIRRE_VILLANUEVA_52211.pdf
Poder Legislativo,YAKSI KINARI ALQUICIRA VAZQUEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/YAKSI_KINARI_ALQUICIRA_VAZQUEZ_52238.pdf
Poder Legislativo,ALBINA ALVARADO SANTOS,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ALBINA_ALVARADO_SANTOS_52404.pdf
"Poder Ejecutivo, Poder Judicial",CLAUDIA AGUSTINA ARICEAGA GUZMAN,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/CLAUDIA_AGUSTINA_ARICEAGA_GUZMAN_52584.pdf
"Poder Judicial, Poder Legislativo",ALICIA BECERRA GOMEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ALICIA_BECERRA_GOMEZ_52437.pdf
Poder Judicial,ISELA ESTEFANIA BUENO GALLEGOS,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ISELA_ESTEFANIA_BUENO_GALLEGOS_52297.pdf
Poder Legislativo,CLAUDIA CARDENAS VILLASEÑOR,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/CLAUDIA_CARDENAS_VILLASEÑOR_52542.pdf
Poder Legislativo,ANA LUISA GOMEZ IBARRA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ANA_LUISA_GOMEZ_IBARRA_53079.pdf
Poder Ejecutivo,CYNTHIA ESMERALDA GRANADOS MORENO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/CYNTHIA_ESMERALDA_GRANADOS_MORENO_53582.pdf
Poder Legislativo,DEYANIRA HERNANDEZ XOLIO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/DEYANIRA_HERNANDEZ_XOLIO_53391.pdf
Poder Legislativo,ISABEL MALDONADO SANCHEZ,
En Funciones,MONICA MONTES MANRIQUE,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MONICA_MONTES_MANRIQUE_53988.pdf
Poder Legislativo,MAYRA ROSARIO MORA PEREZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MAYRA_ROSARIO_MORA_PEREZ_54357.pdf
Poder Ejecutivo,MORELIA PEÑA BELMONTE,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MORELIA_PEÑA_BELMONTE_54676.pdf
"Poder Ejecutivo, Poder Legislativo",ALMA LILIANA RAMIREZ RAMOS,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ALMA_LILIANA_RAMIREZ_RAMOS_54425.pdf
Poder Ejecutivo,GABRIELA SALCEDO MANZO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/GABRIELA_SALCEDO_MANZO_55514.pdf
Poder Judicial,DIANA EVELIN TOLEDO VILLAGOMEZ,
Poder Ejecutivo,DANIEL CLAUDIO CALDERON OCHOA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/DANIEL_CLAUDIO_CALDERON_OCHOA_52499.pdf
Poder Ejecutivo,PEDRO CAMPOS GARCIA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/PEDRO_CAMPOS_GARCIA_52788.pdf
