Poder de la Unión,Persona Candidata,CurriculumV Persona Candidata
Poder Legislativo,MARCO ANTONIO MACEDO GARCIA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MARCO_ANTONIO_MACEDO_GARCIA_53715.pdf
Poder Legislativo,FABIAN MARISCAL RAZO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/FABIAN_MARISCAL_RAZO_53647.pdf
Poder Ejecutivo,HECTOR JAVIER RAMIREZ AVENDAÑO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/HECTOR_JAVIER_RAMIREZ_AVENDAÑO_54437.pdf
Poder Judicial,CHEDORLAOMER RAMIREZ LOPEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/CHEDORLAOMER_RAMIREZ_LOPEZ_55135.pdf
Poder Judicial,GERARDO REYES JUAREZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/GERARDO_REYES_JUAREZ_54673.pdf
Poder Ejecutivo,GERARDO SANCHEZ HENKEL FERNANDEZ MARTINEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/GERARDO_SANCHEZ_HENKEL_FERNANDEZ_MARTINEZ_53038.pdf
Poder Judicial,MAYARI DULCE MARIA AGUILAR BAUTISTA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MAYARI_DULCE_MARIA_AGUILAR_BAUTISTA_52381.pdf
Poder Legislativo,LORENA ALVARADO GALVAN,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/LORENA_ALVARADO_GALVAN_52405.pdf
Poder Judicial,GRACIELA GENOVEVA CAMPOS LEON,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/GRACIELA_GENOVEVA_CAMPOS_LEON_52505.pdf
Poder Ejecutivo,DALIA CONCHA CASTELLANOS,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/DALIA_CONCHA_CASTELLANOS_52793.pdf
En Funciones,SANDRA DE JESUS ZUÑIGA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/SANDRA_DE_JESUS_ZUÑIGA_52562.pdf
En Funciones,MARGARITA DOMINGUEZ MERCADO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MARGARITA_DOMINGUEZ_MERCADO_52874.pdf
"En Funciones, Poder Ejecutivo",VIRGINIA GUTIERREZ CISNEROS,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/VIRGINIA_GUTIERREZ_CISNEROS_53369.pdf
Poder Judicial,ELIZABETH IBARRA SARLAT,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ELIZABETH_IBARRA_SARLAT_53883.pdf
Poder Ejecutivo,MARIA DEL CARMEN MONTIEL RODRIGUEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MARIA_DEL_CARMEN_MONTIEL_RODRIGUEZ_54311.pdf
"Poder Ejecutivo, Poder Legislativo",CINTHIA NAYELI NABOR RODRIGUEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/CINTHIA_NAYELI_NABOR_RODRIGUEZ_54309.pdf
Poder Judicial,BLANCA LAURA RIVERO BANDA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/BLANCA_LAURA_RIVERO_BANDA_52397.pdf
